索引號,慣用名,通鑑名,通鑑目錄,出處,女性,別稱,姓,名,字,號,氏,謚,生年,卒年,出生月日,去世月日,得位年,失位年,統治政權,從屬政權,籍貫,作品,相關成語,人物組合,生僻度,簡述,記載年,記載年備註,wiki異名,備注
-1,屈原,,,9,,,,,,,,,,,,,,,,,,,,,,離騷,,,,
-1,宋玉,,,9,,,,,,,,,,,,,,,,,,,,,,屈原後楚賦家,,,,
-1,景差,,,9,,,,,,,,,,,,,,,,,,,,,,屈原後楚賦家,,,,
-1,唐勒,,,9,,,,,,,,,,,,,,,,,,,,,,屈原後楚賦家,,,,
-1,南郭先生,,,9,,,,,,,,,,,,,,,,,,,,,,齊宣王時期濫竽充數,,,,
-1,李談,,,9,,,,,,,,,,,,,,,,,,,,,,勸平原君散盡家財保衛邯鄲,,,,
-1,唐舉,,,9,,,,,,,,,,,,,,,,,,,,,,魏國相師，給蔡澤相面,,,,
-1,田巴,,,9,,,,,,,,,,,,,,,,,,,,,,齊國辯士，敗於魯仲連,,,,
-1,唐玖,,,9,,,,,,,,,,,,,,,,,,,,,,趙國內侍，探視廉頗尚能飯否者,,,,
-1,田光,,,9,,,,,,,,,,,,,,,,,,,,,,爲激勵荊軻自刎,,,,
-1,韓談,,,9,,,,,,,,,,,,,,,,,,,,,,秦末宦官，授子嬰令殺趙高,,,,
-1,王生,,,9,,,,,,,,,,,,,,,,,,,,,,讓張釋之幫忙穿襪的處士。典故王生襪,,,,
-1,司馬季主,,,9,,,,,,,,,,,,,,,,,,,,,,西漢卜筮者，令賈誼無言以對,,,,
-1,黃生,,,9,,,,,,,,,,,,,,,,,,,,,,漢景帝時湯武革命討論者,,,,
-1,爰叔,,,9,,,,,,,,,,,,,,,,,,,,,,袁盎兄子，勸劉嫖獻出長門宮,,,,
-1,東門京,,,9,,,,,,,,,,,,,,,,,,,,,,漢武帝時期相馬者，作銅馬法,,,,
-1,高漸離,,,9,,,,,,,,,,,,,,,,,,,,,,刺客音樂家,,,,
-1,彭吳,,,9,,,,,,,,,,,,,,,,,,,,,,漢武帝時滅朝鮮置滄海郡,,,,
-1,楊得意,,,9,,,,,,,,,,,,,,,,,,,,,,司馬相如老鄉，狗監，舉薦給武帝,,,,
-1,暴利長,,,9,,,,,,,,,,,,,,,,,,,,,,漢武帝時獻渥洼水中神馬，敦煌屯田囚徒,,,,
-1,巴寡婦清,,,9,,,,,,,,,,,,,,,,,,,,,,受秦始皇賞識的女企業家，提供水銀,,,,
-1,烏氏倮,,,9,,,,,,,,,,,,,,,,,,,,,,秦始皇時期畜牧富商,,,,
-1,徐勃,,,9,,,,,,,,,,,,,,,,,,,,,,漢武帝山東地區農民起義領袖，另有南陽梅免、百政，楚地段中、杜少，燕趙堅廬、范主，被繡衣使者鎮壓，頒布沉命法,,,,
-1,程邈,,,9,,,,,,,,,,,,,,,,,,,,,,秦始皇時期書法家，發明隸書,,,,
-1,檀長卿,,,9,,,,,,,,,,,,,,,,,,,,,,漢宣帝長信少府，起舞為沐猴與狗鬬,,,,
-1,徐夫人,,,9,,,,,,,,,,,,,,,,,,,,,,鑄造荊軻刺秦匕首，男的,,,,
-1,褚少孫,,,9,,,,,,,,,,,,,,,,,,,,,,漢成帝時期，續補史記,,,,
-1,史游,,,9,,,,,,,,,,,,,,,,,,急就篇,,,,漢元帝黃門令，宦官，作急就篇,,,,
-1,班壹,,,9,,,,,,,,,,,,,,,,,,,,,,秦末避亂樓煩，高后時牧羊致富，過百歲,,,,
-1,馮無方,,,9,,,,,,,,,,,,,,,,,,,,,,漢成帝侍郎，善吹笙，拽住趙飛燕的裙子作掌上舞,,,,
-1,隗狀,,,9,,,,,,,,,,,,,,,,,,,,,,秦始皇丞相，與王綰并稱，制定度量衡,,,,
-1,刁間,,,9,,,,,,,,,,,,,,,,,,,,,,西漢初齊地富商，煮鹽捕魚致富,,,,
-1,嚴君平,,,9,,,,,,,,,,,,,,,,,,,,,,揚雄師，西漢晚期道家，可能共著莊子,,,,
-1,鄭子真,,,9,,,,,,,,,,,,,,,,,,,,,,西漢末年隱士,,,,
-1,楊寶,,,9,,,,,,,,,,,,,,,,,,,,,,兩漢經學學者，楊敞後裔，銜環,,,,
-1,秦西巴,,,9,,,,,,,,,,,,,,,,,,,,,,孟孫獵得麑，秦西巴憐而釋之。出自韓非子樂羊與秦西巴,,,,
-1,阮翁仲,,,9,,,,,,,,,,,,,,,,,,,,,,秦始皇時期巨人,,,,
-1,王充,,,9,,,,,,,,,,,,,,,,,,論衡,,後漢三賢,,班彪弟子,,,,
-1,王符,,,9,,,,,節信,,,,83,170,,,,,,東漢,,潛夫論,,後漢三賢,,哲學家、政論家,,,,
-1,劉肅,,,9,,,,,,,,,0,125,,,,,,東漢,,,,,,東海王劉政子，104年21個弟弟同時封列侯,,,,
-1,許慎,,,9,,,,,,,,,,,,,,,,,,說文解字,,,,賈逵弟子,,,,
-1,劉珍 (東漢),,,9,,,,,,,,,0,126,,,,,,東漢,,東觀漢紀,,,,東漢史學家,,,,
-1,嚴佛調,,,9,,嚴浮調,,,,,,,,,,,,,,,,法鏡經,,,,最早的佛教出家人,,,,
-1,姜詩,,,9,,,,,士游,,,,0,0,,,,,,東漢,,,臥冰求鯉,,,二十四孝人物，漢明帝郎中,60,60年舉孝廉,,
