索引號,干支,朝代變更,年號變更,重大事件,曹魏,蜀漢,孫吳,晉,南朝宋,南朝齊,南朝梁,南朝陳,臨朝稱制(實控)
220,37,曹魏,黃初,漢獻帝禪讓,曹丕1,,,,,,,,
221,38,,,劉備稱帝|夷陵之戰,曹丕2,劉備1,,,,,,,
222,39,,,,曹丕3,劉備2,,,,,,,
223,40,,,,曹丕4,劉備3,,,,,,,
224,41,,,,曹丕5,劉禪2,,,,,,,
225,42,,,,曹丕6,劉禪3,,,,,,,
226,43,,,,曹丕7,劉禪4,,,,,,,
227,44,,太和,,曹叡2,劉禪5,,,,,,,
228,45,,,,曹叡3,劉禪6,,,,,,,
229,46,,,,曹叡4,劉禪7,孫權1,,,,,,
230,47,,,,曹叡5,劉禪8,孫權2,,,,,,
231,48,,,,曹叡6,劉禪9,孫權3,,,,,,
232,49,,,,曹叡7,劉禪10,孫權4,,,,,,
233,50,,青龍,,曹叡8,劉禪11,孫權5,,,,,,
234,51,,,,曹叡9,劉禪12,孫權6,,,,,,
235,52,,,,曹叡10,劉禪13,孫權7,,,,,,
236,53,,,,曹叡11,劉禪14,孫權8,,,,,,
237,54,,景初,,曹叡12,劉禪15,孫權9,,,,,,
238,55,,,,曹叡13,劉禪16,孫權10,,,,,,
239,56,,,,曹叡14,劉禪17,孫權11,,,,,,
240,57,,正始,,曹芳2,劉禪18,孫權12,,,,,,
241,58,,,,曹芳3,劉禪19,孫權13,,,,,,
242,59,,,,曹芳4,劉禪20,孫權14,,,,,,
243,60,,,,曹芳5,劉禪21,孫權15,,,,,,
244,1,,,,曹芳6,劉禪22,孫權16,,,,,,
245,2,,,,曹芳7,劉禪23,孫權17,,,,,,
246,3,,,,曹芳8,劉禪24,孫權18,,,,,,
247,4,,,,曹芳9,劉禪25,孫權19,,,,,,
248,5,,,,曹芳10,劉禪26,孫權20,,,,,,
249,6,,嘉平,,曹芳11,劉禪27,孫權21,,,,,,
250,7,,,,曹芳12,劉禪28,孫權22,,,,,,
251,8,,,,曹芳13,劉禪29,孫權23,,,,,,
252,9,,,,曹芳14,劉禪30,孫權24,,,,,,
253,10,,,,曹芳15,劉禪31,孫亮2,,,,,,
254,11,,正元,,曹芳16,劉禪32,孫亮3,,,,,,
255,12,,,,曹髦2,劉禪33,孫亮4,,,,,,
256,13,,甘露,,曹髦3,劉禪34,孫亮5,,,,,,
257,14,,,,曹髦4,劉禪35,孫亮6,,,,,,
258,15,,,,曹髦5,劉禪36,孫亮7,,,,,,
259,16,,,,曹髦6,劉禪37,孫休2,,,,,,
260,17,,景元,,曹髦7,劉禪38,孫休3,,,,,,
261,18,,,,曹奐2,劉禪39,孫休4,,,,,,
262,19,,,,曹奐3,劉禪40,孫休5,,,,,,
263,20,,,,曹奐4,劉禪41,孫休6,,,,,,
264,21,,咸熙,,曹奐5,,孫休7,,,,,,
265,22,,,,曹奐6,,孫皓2,,,,,,
266,23,西晉,泰始,魏元帝禪讓,曹奐7,,孫皓3,司馬炎1,,,,,
267,24,,,,,,孫皓4,司馬炎2,,,,,
268,25,,,,,,孫皓5,司馬炎3,,,,,
269,26,,,,,,孫皓6,司馬炎4,,,,,
270,27,,,,,,孫皓7,司馬炎5,,,,,
271,28,,,,,,孫皓8,司馬炎6,,,,,
272,29,,,,,,孫皓9,司馬炎7,,,,,
273,30,,,,,,孫皓10,司馬炎8,,,,,
274,31,,,,,,孫皓11,司馬炎9,,,,,
275,32,,咸寧,,,,孫皓12,司馬炎10,,,,,
276,33,,,,,,孫皓13,司馬炎11,,,,,
277,34,,,,,,孫皓14,司馬炎12,,,,,
278,35,,,,,,孫皓15,司馬炎13,,,,,
279,36,,,,,,孫皓16,司馬炎14,,,,,
280,37,,太康,,,,孫皓17,司馬炎15,,,,,
281,38,,,,,,,司馬炎16,,,,,
282,39,,,,,,,司馬炎17,,,,,
283,40,,,,,,,司馬炎18,,,,,
284,41,,,,,,,司馬炎19,,,,,
285,42,,,,,,,司馬炎20,,,,,
286,43,,,,,,,司馬炎21,,,,,
287,44,,,,,,,司馬炎22,,,,,
288,45,,,,,,,司馬炎23,,,,,
289,46,,,,,,,司馬炎24,,,,,
290,47,,太熙|永熙,,,,,司馬炎25,,,,,
291,48,,永平|元康,,,,,晉惠帝2,,,,,
292,49,,,,,,,晉惠帝3,,,,,
293,50,,,,,,,晉惠帝4,,,,,
294,51,,,,,,,晉惠帝5,,,,,
295,52,,,,,,,晉惠帝6,,,,,
296,53,,,,,,,晉惠帝7,,,,,
297,54,,,,,,,晉惠帝8,,,,,
298,55,,,,,,,晉惠帝9,,,,,
299,56,,,,,,,晉惠帝10,,,,,
300,57,,永康,,,,,晉惠帝11,,,,,
301,58,,永寧,,,,,晉惠帝12|司馬倫1,,,,,
302,59,,太安,,,,,晉惠帝13,,,,,
303,60,,,,,,,晉惠帝14,,,,,
304,1,,永安|建武|永安|永興,,,,,晉惠帝15,,,,,
305,2,,,,,,,晉惠帝16,,,,,
306,3,,光熙,,,,,晉惠帝17,,,,,
307,4,,永嘉,,,,,晉惠帝18,,,,,
308,5,,,,,,,晉懷帝2,,,,,
309,6,,,,,,,晉懷帝3,,,,,
310,7,,,,,,,晉懷帝4,,,,,
311,8,,,,,,,晉懷帝5,,,,,
312,9,,,,,,,晉懷帝6,,,,,
313,10,,建興,,,,,晉懷帝7,,,,,
314,11,,,,,,,晉愍帝2,,,,,
315,12,,,,,,,晉愍帝3,,,,,
316,13,,,,,,,晉愍帝4,,,,,
317,14,東晉,建武,,,,,晉愍帝5,,,,,
318,15,,大興,,,,,晉元帝2,,,,,
319,16,,,,,,,晉元帝3,,,,,
320,17,,,,,,,晉元帝4,,,,,
321,18,,,,,,,晉元帝5,,,,,
322,19,,永昌,,,,,晉元帝6,,,,,
323,20,,太寧,,,,,晉元帝7,,,,,
324,21,,,,,,,晉明帝2,,,,,
325,22,,,,,,,晉明帝3,,,,,
326,23,,咸和,,,,,晉成帝2,,,,,
327,24,,,,,,,晉成帝3,,,,,
328,25,,,,,,,晉成帝4,,,,,
329,26,,,,,,,晉成帝5,,,,,
330,27,,,,,,,晉成帝6,,,,,
331,28,,,,,,,晉成帝7,,,,,
332,29,,,,,,,晉成帝8,,,,,
333,30,,,,,,,晉成帝9,,,,,
334,31,,,,,,,晉成帝10,,,,,
335,32,,咸康,,,,,晉成帝11,,,,,
336,33,,,,,,,晉成帝12,,,,,
337,34,,,,,,,晉成帝13,,,,,
338,35,,,,,,,晉成帝14,,,,,
339,36,,,,,,,晉成帝15,,,,,
340,37,,,,,,,晉成帝16,,,,,
341,38,,,,,,,晉成帝17,,,,,
342,39,,,,,,,晉成帝18,,,,,
343,40,,建元,,,,,晉康帝2,,,,,
344,41,,,,,,,晉康帝3,,,,,
345,42,,永和,,,,,晉穆帝2,,,,,
346,43,,,,,,,晉穆帝3,,,,,
347,44,,,,,,,晉穆帝4,,,,,
348,45,,,,,,,晉穆帝5,,,,,
349,46,,,,,,,晉穆帝6,,,,,
350,47,,,,,,,晉穆帝7,,,,,
351,48,,,,,,,晉穆帝8,,,,,
352,49,,,,,,,晉穆帝9,,,,,
353,50,,,,,,,晉穆帝10,,,,,
354,51,,,,,,,晉穆帝11,,,,,
355,52,,,,,,,晉穆帝12,,,,,
356,53,,,,,,,晉穆帝13,,,,,
357,54,,升平,,,,,晉穆帝14,,,,,
358,55,,,,,,,晉穆帝15,,,,,
359,56,,,,,,,晉穆帝16,,,,,
360,57,,,,,,,晉穆帝17,,,,,
