索引號,名稱,起始卷序號,結束卷序號,卷起始年,卷結束年,備注
1,戰國,1,5,-403,-256,戰國起止：-476至-221
2,秦,6,8,-255,-207,秦起止：-221至-207
3,楚漢、西漢,9,36,-206,8,楚漢之爭起止：-206至-202，西漢起止：-202至8
4,新、玄漢,37,39,9,24,新起止：9至23，玄漢起止：23至25
5,東漢,40,68,25,219,東漢起止：25至220
6,曹魏,69,78,220,264,曹魏起止：220至266
7,西晉,79,89,265,316,西晉起止：265至317
8,東晉,90,118,317,419,東晉起止：317至420
9,劉宋,119,134,420,478,劉宋起止：420至479
10,南齊,135,144,479,,南齊起止：479至502
11,南梁,145,166,,,南梁起止：502至557
12,南陳,167,176,,,南陳起止：557至589
13,隋,177,184,,,隋起止：581至618
14,唐,185,265,,,唐起止：618至907
15,後梁,266,271,,,後梁起止：907至923
16,後唐,272,279,,,後唐起止：923至936
17,後晉,280,285,,,後晉起止：936至947
18,後漢,286,289,,,後漢起止：947至950
19,後周,290,294,,,後周起止：951至960
