序號,索引號,国君姓名,西周,東周,春秋,戰國
1,1206,召公奭,0,,,
2,,燕侯克,1,,,
3,,燕侯旨,2,,,
4,,燕侯舞,3,,,
5,,燕侯憲,4,,,
6,,燕侯和,5,,,
7,,燕伯聖,6-9,,,
8,,燕惠侯,10,,,
9,,燕釐侯,11,,,
10,,燕頃侯,12,1,1,
11,,燕哀侯,,2,2,
12,,燕鄭侯,,3,3,
13,,燕穆侯,,4,4,
14,,燕宣侯,,5,5,
15,,燕桓侯,,6,6,
16,,燕莊公,,7,7,
17,,燕襄公,,8,8,
18,,燕前桓公,,9,9,
19,,燕宣公,,10,10,
20,,燕昭公,,11,11,
21,,燕武公,,12,12,
22,,燕前文公,,13,13,
23,,燕懿公,,14,14,
24,,燕惠公,,15,15,
25,,燕悼公,,16,16,
26,,燕共公,,17,17,
27,,燕平公,,18,18,
28,,燕前簡公,,19,19,
29,,燕孝公,,20,20,1
30,,燕成公,,21,,2
31,60,燕閔公,,22,,3
32,61,燕後簡公,,23,,4
33,107,燕後桓公,,24,,5
34,202,燕後文公,,25,,6
35,250,燕易王,,26,,7
36,260,燕王噲,,27,,8
37,410,子之,,!,,!
38,430,燕昭王,,28,,9
39,636,燕惠王,,29,,10
40,802,燕武成王,,30,,11
41,843,燕孝王,,31,,12
42,1011,燕王喜,,32,,13
