序號,索引號,国君姓名,西周,東周,春秋,戰國
1,646,姜子牙,1,,,
2,,齊丁公,2,,,
3,,齊乙公,3,,,
4,,齊癸公,4,,,
5,,齊哀公,5,,,
6,,齊胡公,6,,,
7,,齊獻公,7,,,
8,,齊武公,8,,,
9,,齊厲公,9,,,
10,,齊文公,10,,,
11,,齊成公,11,,,
12,,齊前莊公,12,1,1,
13,,齊僖公,,2,2,
14,,齊襄公,,3,3,
15,,公孫無知,,4,4,
16,24,齊桓公,,5,5,
17,,公子無虧,,6,6,
18,,齊孝公,,7,7,
19,,齊昭公,,8,8,
20,,齊君舍,,9,9,
21,,齊懿公,,10,10,
22,,齊惠公,,11,11,
23,,齊頃公,,12,12,
24,,齊靈公,,13,13,
25,,齊後莊公,,14,14,
26,,齊景公,,15,15,
27,,安孺子,,16,16,
28,,齊悼公,,17,17,
29,267,齊簡公,,18,18,
30,,齊平公,,19,19,1
31,,齊宣公,,20,,2
32,84,齊康公,,21,,3
1,,陳完,,1,1,
2,,田孟夷,,2,2,
3,,田孟莊,,3,3,
4,,田文子,,4,4,
5,,田桓子,,5,5,
6,,田武子,,6,6,-6
7,,田僖子,,7,7,-5
8,22,田成子,,8,8,-4
9,81,田襄子,,9,9,-3
10,82,田莊子,,10,10,-2
11,,田悼子,,11,11,-1
12,83,田和,,12,,1
13,,田侯剡,,13,,2
14,94,田午,,14,,3
15,96,齊威王,,15,,4
16,249,齊宣王,,16,,5
17,423,齊湣王,,17,,6
18,622,齊襄王,,18,,7
19,639,齊王建,,19,,8
