序號,索引號,時代順序,国君姓名,別稱,得位年,失位年,備註
1,12826,奠基1,司馬懿,晉宣王、晉宣帝,,,奠基者
2,14809,奠基2,司馬師,晉景王、晉景帝,,,奠基者
3,14810,奠基3,司馬昭,晉文王、晉文帝,,,奠基者
4,15279,西晉1,司馬炎,晉武帝,266,290,
5,15625,西晉2,司馬衷,晉惠帝,290,307,八王之亂
6,16209,西晉3,司馬熾,晉懷帝,307,313,被劉聰俘殺
7,17332,西晉4,司馬鄴,晉愍帝,313,316,被劉聰俘殺
8,13628,東晉1,司馬睿,晉元帝,317,323,
9,17539,東晉2,司馬紹,晉明帝,323,325,
10,18084,東晉3,司馬衍,晉成帝,325,342,
11,18464,東晉4,司馬岳,晉康帝,342,344,
12,19230,東晉5,司馬聃,晉穆帝,344,361,
13,19201,東晉6,司馬丕,晉哀帝,361,365,
14,19202,東晉7,司馬奕,晉廢帝,365,371,
15,18223,東晉8,司馬昱,晉簡文帝,371,372,
16,20052,東晉9,司馬曜,晉孝武帝,372,396,淝水之戰
17,21231,東晉10,司馬德宗,晉安帝,396,419,
18,21420,東晉11,司馬德文,晉恭帝,419,420,
