序號,索引號,國君姓名,得位年,失位年,備註
1,17835,慕容吐谷渾,283,317,
2,17837,吐延,317,329,
3,18668,葉延,329,351,
4,19644,碎奚,351,371,
5,20415,視連,371,390,
6,21300,視羆,390,400,
7,22098,烏紇提,400,405,
8,22097,樹洛干,405,417,
9,23406,阿豺,417,424,
10,22100,慕璝,424,436,
11,22101,慕利延,436,452,
12,,拾寅,452,481,
13,,度易侯,481,490,
14,,伏連籌,490,540,
15,,呵羅真,529,530,
16,,佛輔,530,534,
17,,可沓振,534,540,
18,,夸呂,540,591,首次自稱可汗
19,,世伏,591,597,
20,,伏允,597,635,608被隋滅，615又復國
21,,慕容順,635,635,
22,,諾曷缽,635,663,吐蕃滅吐谷渾
101,,諾曷缽,663,687,唐傀儡政權
102,,慕容忠,688,699,
103,,慕容宣超,700,0,
104,,慕容曦皓,0,0,
105,,慕容兆,0,0,
106,,慕容復,798,0,
