序號,索引號,國君姓名,得位年,失位年,時代,備註
1,15290,拓拔毛,0,0,追尊,魏道武帝追尊首位始祖
2,15291,拓跋推寅,0,0,追尊,魏道武帝追尊第6位始祖
3,15292,拓跋鄰,0,0,追尊,魏道武帝追尊第13位始祖
4,15295,拓跋詰汾,0,0,追尊,魏道武帝追尊第14位始祖
101,15288,拓跋力微,220,277,拓跋鮮卑,魏道武帝追尊第15位始祖，天女所生
102,15850,拓跋悉鹿,277,286,拓跋鮮卑,
103,16079,拓跋綽,286,293,拓跋鮮卑,
104,16283,拓跋弗,293,294,拓跋鮮卑,
105,16286,拓跋祿官,294,307,拓跋鮮卑,分國三部，自統東部
106,16287,拓跋猗㐌,295,305,拓跋鮮卑,統中部
107,17008,拓跋普根,305,316,拓跋鮮卑,統中部
108,16288,拓跋猗盧,295,309,拓跋鮮卑,統西部，307年總攝三部
109,15289,拓跋沙漠汗,,,拓跋鮮卑,魏道武帝追尊第16位始祖，始終為曹魏、西晉質子
1001,16288,拓跋猗盧,310,316,拓跋代,310年封代公，315年進代王，建立拓跋代
1002,17008,拓跋普根,316,316,拓跋代,殺拓跋六修後短暫統治拓跋代
1003,17683,拓跋普根之子,316,316,拓跋代,遺腹子，夭折
1004,17713,拓跋鬱律,316,321,拓跋代,
1005,18087,拓跋賀傉,321,325,拓跋代,
1006,18450,拓跋紇那,325,329,拓跋代,投奔宇文鮮卑
1007,18498,拓跋翳槐,329,335,拓跋代,
1008,18450,拓跋紇那,335,337,拓跋代,自宇文鮮卑返回，復立為代王
1009,18498,拓跋翳槐,337,338,拓跋代,再次趕走拓跋紇那
1010,18088,拓跋什翼犍,338,376,拓跋代,
