和親年代,朝代,中國君主,外族,外族君主,姓名,索引號,備注
-199,西漢,劉邦,匈奴,冒頓,,2201,白登之圍後，婁敬建議和親，呂后不給魯元公主，送家人子
-192,西漢,漢惠帝|呂后,匈奴,冒頓,,2249,冒頓寫信調戲呂后後和親
-176,西漢,漢文帝,匈奴,冒頓,,,
-174,西漢,漢文帝,匈奴,老上單于,,2621,老上單于見面禮，中行說同去
-162,西漢,漢文帝,匈奴,老上單于,,,匈奴連歲入邊，復與匈奴和親
-156,西漢,漢景帝,匈奴,軍臣單于,,,遣御史大夫青至代下與匈奴和親
-155,西漢,漢景帝,匈奴,軍臣單于,,,秋，與匈奴和親
-152,西漢,漢景帝,匈奴,軍臣單于,,3041,遣公主嫁匈奴單于
-140,西漢,漢武帝,匈奴,軍臣單于,,,
-135,西漢,漢武帝,匈奴,軍臣單于,,,群臣議者多附安國，於是上許和親
-105,西漢,漢武帝,烏孫,獵驕靡,劉細君,4024,
-101,西漢,漢武帝,烏孫,軍須彌,劉解憂,4650,
-60,西漢,漢宣帝,烏孫,翁歸靡,劉相夫,5037,常惠送和親中途翁歸靡死，從蕭望之建議接回
-33,西漢,漢元帝,匈奴,呼韓邪單于,王昭君,5627,
