年份,正統年號,年號二,年號三,年號四
-179,前元(漢文帝)1,,,
-178,前元(漢文帝)2,,,
-177,前元(漢文帝)3,,,
-176,前元(漢文帝)4,,,
-175,前元(漢文帝)5,,,
-174,前元(漢文帝)6,,,
-173,前元(漢文帝)7,,,
-172,前元(漢文帝)8,,,
-171,前元(漢文帝)9,,,
-170,前元(漢文帝)10,,,
-169,前元(漢文帝)11,,,
-168,前元(漢文帝)12,,,
-167,前元(漢文帝)13,,,
-166,前元(漢文帝)14,,,
-165,前元(漢文帝)15,,,
-164,前元(漢文帝)16,,,
-163,後元(漢文帝)1,,,
-162,後元(漢文帝)2,,,
-161,後元(漢文帝)3,,,
-160,後元(漢文帝)4,,,
-159,後元(漢文帝)5,,,
-158,後元(漢文帝)6,,,
-157,後元(漢文帝)7,,,
-156,前元(漢景帝)1,,,
-155,前元(漢景帝)2,,,
-154,前元(漢景帝)3,,,
-153,前元(漢景帝)4,,,
-152,前元(漢景帝)5,,,
-151,前元(漢景帝)6,,,
-150,前元(漢景帝)7,,,
-149,中元(漢景帝)1,,,
-148,中元(漢景帝)2,,,
-147,中元(漢景帝)3,,,
-146,中元(漢景帝)4,,,
-145,中元(漢景帝)5,,,
-144,中元(漢景帝)6,,,
-143,後元(漢景帝)1,,,
-142,後元(漢景帝)2,,,
-141,後元(漢景帝)3,,,
-140,建元(漢武帝)1,,,
-139,建元(漢武帝)2,,,
-138,建元(漢武帝)3,,,
-137,建元(漢武帝)4,,,
-136,建元(漢武帝)5,,,
-135,建元(漢武帝)6,,,
-134,元光(漢武帝)1,,,
-133,元光(漢武帝)2,,,
-132,元光(漢武帝)3,,,
-131,元光(漢武帝)4,,,
-130,元光(漢武帝)5,,,
-129,元光(漢武帝)6,,,
-128,元朔(漢武帝)1,,,
-127,元朔(漢武帝)2,,,
-126,元朔(漢武帝)3,,,
-125,元朔(漢武帝)4,,,
-124,元朔(漢武帝)5,,,
-123,元朔(漢武帝)6,,,
-122,元狩(漢武帝)1,,,
-121,元狩(漢武帝)2,,,
-120,元狩(漢武帝)3,,,
-119,元狩(漢武帝)4,,,
-118,元狩(漢武帝)5,,,
-117,元狩(漢武帝)6,,,
-116,元鼎(漢武帝)1,,,
-115,元鼎(漢武帝)2,,,
-114,元鼎(漢武帝)3,,,
-113,元鼎(漢武帝)4,,,
-112,元鼎(漢武帝)5,,,
-111,元鼎(漢武帝)6,,,
-110,元封(漢武帝)1,,,
-109,元封(漢武帝)2,,,
-108,元封(漢武帝)3,,,
-107,元封(漢武帝)4,,,
-106,元封(漢武帝)5,,,
-105,元封(漢武帝)6,,,
-104,太初(漢武帝)1,,,
-103,太初(漢武帝)2,,,
-102,太初(漢武帝)3,,,
-101,太初(漢武帝)4,,,
-100,天漢(漢武帝)1,,,
-99,天漢(漢武帝)2,,,
-98,天漢(漢武帝)3,,,
-97,天漢(漢武帝)4,,,
-96,太始(漢武帝)1,,,
-95,太始(漢武帝)2,,,
-94,太始(漢武帝)3,,,
-93,太始(漢武帝)4,,,
-92,征和(漢武帝)1,,,
-91,征和(漢武帝)2,,,
-90,征和(漢武帝)3,,,
-89,征和(漢武帝)4,,,
-88,後元(漢武帝)1,,,
-87,後元(漢武帝)2,,,
-86,始元(漢昭帝)1,,,
-85,始元(漢昭帝)2,,,
-84,始元(漢昭帝)3,,,
-83,始元(漢昭帝)4,,,
-82,始元(漢昭帝)5,,,
-81,始元(漢昭帝)6,,,
-80,元鳳(漢昭帝)1,,,
-79,元鳳(漢昭帝)2,,,
-78,元鳳(漢昭帝)3,,,
-77,元鳳(漢昭帝)4,,,
-76,元鳳(漢昭帝)5,,,
-75,元鳳(漢昭帝)6,,,
-74,元平(漢昭帝)1,,,
-73,本始(漢宣帝)1,,,
-72,本始(漢宣帝)2,,,
-71,本始(漢宣帝)3,,,
-70,本始(漢宣帝)4,,,
-69,地節(漢宣帝)1,,,
-68,地節(漢宣帝)2,,,
-67,地節(漢宣帝)3,,,
-66,地節(漢宣帝)4,,,
-65,元康(漢宣帝)1,,,
-64,元康(漢宣帝)2,,,
-63,元康(漢宣帝)3,,,
-62,元康(漢宣帝)4,,,
-61,神爵(漢宣帝)1,,,
-60,神爵(漢宣帝)2,,,
-59,神爵(漢宣帝)3,,,
-58,神爵(漢宣帝)4,,,
-57,五鳳(漢宣帝)1,,,
-56,五鳳(漢宣帝)2,,,
-55,五鳳(漢宣帝)3,,,
-54,五鳳(漢宣帝)4,,,
-53,甘露(漢宣帝)1,,,
-52,甘露(漢宣帝)2,,,
-51,甘露(漢宣帝)3,,,
-50,甘露(漢宣帝)4,,,
-49,黃龍(漢宣帝)1,,,
-48,初元(漢元帝)1,,,
-47,初元(漢元帝)2,,,
-46,初元(漢元帝)3,,,
-45,初元(漢元帝)4,,,
-44,初元(漢元帝)5,,,
-43,永光(漢元帝)1,,,
-42,永光(漢元帝)2,,,
-41,永光(漢元帝)3,,,
-40,永光(漢元帝)4,,,
-39,永光(漢元帝)5,,,
-38,建昭(漢元帝)1,,,
-37,建昭(漢元帝)2,,,
