索引號,慣用名,通鑑名,通鑑目錄,出處,女性,別稱,姓,名,字,號,氏,謚,生年,卒年,出生月日,去世月日,得位年,失位年,統治政權,從屬政權,生僻度,簡述,記載年,記載年備註,備注
-1,屈原,,,9,,,,,,,,,,,,,,,,,,離騷,,,
-1,宋玉,,,9,,,,,,,,,,,,,,,,,,屈原後楚賦家,,,
-1,景差,,,9,,,,,,,,,,,,,,,,,,屈原後楚賦家,,,
-1,唐勒,,,9,,,,,,,,,,,,,,,,,,屈原後楚賦家,,,
-1,南郭先生,,,9,,,,,,,,,,,,,,,,,,齊宣王時期濫竽充數,,,
-1,李談,,,9,,,,,,,,,,,,,,,,,,勸平原君散盡家財保衛邯鄲,,,
-1,唐舉,,,9,,,,,,,,,,,,,,,,,,魏國相師，給蔡澤相面,,,
-1,田巴,,,9,,,,,,,,,,,,,,,,,,齊國辯士，敗於魯仲連,,,
-1,唐玖,,,9,,,,,,,,,,,,,,,,,,趙國內侍，探視廉頗尚能飯否者,,,
-1,田光,,,9,,,,,,,,,,,,,,,,,,爲激勵荊軻自刎,,,
-1,甘羅,,,9,,,,,,,,,,,,,,,,,,呂不韋門客，秦上卿,,,
-1,韓談,,,9,,,,,,,,,,,,,,,,,,秦末宦官，授子嬰令殺趙高,,,
-1,王生,,,9,,,,,,,,,,,,,,,,,,讓張釋之幫忙穿襪的處士。典故王生襪,,,
-1,司馬季主,,,9,,,,,,,,,,,,,,,,,,西漢卜筮者，令賈誼無言以對,,,
-1,黃生,,,9,,,,,,,,,,,,,,,,,,漢景帝時湯武革命討論者,,,
-1,文翁,,,9,,,,,,,,,,,,,,,,,,漢景帝末年創辦公立學校文翁石室,,,
-1,爰叔,,,9,,,,,,,,,,,,,,,,,,袁盎兄子，勸劉嫖獻出長門宮,,,
-1,東門京,,,9,,,,,,,,,,,,,,,,,,漢武帝時期相馬者，作銅馬法,,,
-1,高漸離,,,9,,,,,,,,,,,,,,,,,,刺客音樂家,,,
-1,彭吳,,,9,,,,,,,,,,,,,,,,,,漢武帝時滅朝鮮置滄海郡,,,
-1,楊得意,,,9,,,,,,,,,,,,,,,,,,司馬相如老鄉，狗監，舉薦給武帝,,,
-1,暴利長,,,9,,,,,,,,,,,,,,,,,,漢武帝時獻渥洼水中神馬，敦煌屯田囚徒,,,
-1,巴寡婦清,,,9,,,,,,,,,,,,,,,,,,受秦始皇賞識的女企業家，提供水銀,,,
-1,烏氏倮,,,9,,,,,,,,,,,,,,,,,,秦始皇時期畜牧富商,,,
-1,徐勃,,,9,,,,,,,,,,,,,,,,,,漢武帝山東地區農民起義領袖，另有南陽梅免、百政，楚地段中、杜少，燕趙堅廬、范主，被繡衣使者鎮壓，頒布沉命法,,,
-1,程邈,,,9,,,,,,,,,,,,,,,,,,秦始皇時期書法家，發明隸書,,,
-1,伏生,儒林,,9,,,,,,,,,,,,,,,,,,漢文帝時，出秦焚書時所藏尚書,,,
-1,胡毋生,,,9,,,,,,,,,,,,,,,,,,漢景帝博士，經學家,,,
-1,歐陽生,,,9,,,,,和伯,,,,,,,,,,,,,尚書歐陽學派創始人，伏生弟子,,,
-1,李冰,工匠,,9,,,,,,,,,,,,,,,,,,都江堰,,,
-1,李二郎,,,9,,,,,,,,,,,,,,,,,,李冰子,,,
-1,莊熊羆,,,9,,嚴熊,,,,,,,0,0,,,,,,西漢,,漢武帝工匠，修建龍首渠，民工創造井渠法,,,
-1,莊蹻,將領,,9,,,,,,,,,,,,,,,,,,大盜，楚頃襄王將領，奪取滇，建立滇國,,,
-1,觸子,,,9,,,,,,,,,,,,,,,,,,齊湣王大將，參與齊滅宋之戰,,,
-1,缪虮,,,9,,,,,,,,,,,,,,,,,,燕國善兵者，與田單、莊蹻、衛鞅齊名（可能就是樂毅）,,,
-1,羌瘣,,,9,,,,,,,,,,,,,,,,,,秦末將領，隨王翦伐趙,,,
-1,辛勝,,,9,,,,,,,,,,,,,,,,,,秦王政將領，攻燕,,,
-1,常頞,,,9,,,,,,,,,,,,,,,,,,秦始皇將領，出使夜郎,,,
-1,肥銖,,,9,,,,,,,,,,,,,,,,,,英布副將,,,
-1,復陸支,,,9,,,,,,,,,,,,,,,,,,漠北之戰封侯,,,
-1,伊即軒,,,9,,,,,,,,,,,,,,,,,,漠北之戰封侯,,,
-1,釋利房,四夷,,9,,,,,,,,,,,,,,,,,,見秦始皇宣揚佛法,-243,朱士行《經錄》秦王政四年，西域沙門室利房等十八人，始齎佛經來華；王怪其狀，捕之系獄，旋放逐國外。,
-1,譯吁宋,,,9,,,,,,,,,,,,,,,,,,百越西甌王，秦甌戰爭中被殺,,,
-1,桀駿,,,9,,,,,,,,,,,,,,,,,,百越將領，替代譯吁宋,,,
-1,倉海君,,,9,,,,,,,,,,,,,,,,,,秦時穢人君長，給張良提供刺秦的大力士,,,
-1,騶寅,,,9,,,,,,,,,,,,,,,,,,閩越王郢三子，射死首都附近大鱔為民除害後墮水犧牲，成白馬尊王、白馬三郎。,,,
-1,難兜靡,,,9,,,,,,,,,,,,,,,,,,初代烏孫國昆莫，被大月氏攻殺,,,
-1,正伯僑,方仙道,,9,,,,,,,,,,,,,,,,,,戰國方仙道人物,,,
-1,充尚,,,9,,,,,,,,,,,,,,,,,,戰國方仙道人物,,,
-1,河上公,,,9,,,,,,,,,,,,,,,,,,戰國方仙道人物,,,
