索引號,卷名一,卷名二,節名,起始,結束,起始年,結束年,備注
101,卷一,周紀一,,三家分晉,韓趙謀魏,-403,-369,周威烈王23年至24年、周安王共26年、周烈王至7年
102,卷二,周紀二,,至顯王七年,孟嘗君,-368,-321,周顯王共48年
103,卷三,周紀三,,魏反縱為橫,公孫龍受絀,-320,-298,周慎靚王共6年、周赧王至17年
104,卷四,周紀四,,至赧王二十年,春申連秦楚,-297,-273,周赧王18年至42年
105,卷五,周紀五,,閼與之戰,周赧王崩,-272,-256,周赧王43年至59年
201,卷六,秦紀一,,蔡澤上任,刺秦上,-255,-228,秦昭襄王52年至56年、秦孝文王共1年、秦莊襄王共3年、秦王政至19年
202,卷七,秦紀二,,刺秦下,六國復立,-227,-209,秦始皇20年至37年、秦二世元年
203,卷八,秦紀三,,陳勝敗,立子嬰,-208,-207,秦二世2年至3年
301,卷九,漢紀一,,秦亡及約法三章,韓信下魏破代,-206,-205,楚漢至2年
302,卷十,漢紀二,,韓信滅趙,鴻溝之盟,-204,-203,楚漢3年至4年
303,卷十一,漢紀三,,垓下之戰,貫高欲反及治未央宮,-202,-200,漢高祖5年至7年
304,卷十二,漢紀四,,劉敬和親匈奴,惠帝崩,-199,-188,漢高祖8年至12年、漢惠帝共7年
305,卷十三,漢紀五,,立諸呂,至文帝前元二年,-187,-178,漢高后共8年、漢文帝至2年
306,卷十四,漢紀六,,劉長殺人及劉興居反,薄昭死,-177,-170,漢文帝3年至10年
307,卷十五,漢紀七,,賈誼死,申屠嘉氣死及梁王恃寵,-169,-155,漢文帝11年至23年、漢景帝至2年
308,卷十六,漢紀八,,博局斗毆及議削藩,漢景帝崩,-154,-141,漢景帝3年至16年
309,卷十七,漢紀九,,董仲舒罷黜百家,李廣程不識治軍簡繁論,-140,-134,漢武帝至7年
310,卷十八,漢紀十,,李少君求仙,張騫初歸,-133,-125,漢武帝8年至16年
311,卷十九,漢紀十一,,公孫弘報私仇,衛霍為人及酷吏橫行,-124,-119,漢武帝17年至22年
312,卷二十,漢紀十二,,汲黯卒及殺義縱,封禪泰山,-118,-110,漢武帝23年至31年
313,卷二十一,漢紀十三,,武帝求仙及征朝鮮,直指繡衣使者,-109,-99,漢武帝32年至42年
314,卷二十二,漢紀十四,,族李陵家及命堯母門,漢昭帝即位,-98,-87,漢武帝43年至54年
315,卷二十三,漢紀十五,,燕王旦反及托孤臣侯,傅介子刺樓蘭王,-86,-75,漢昭帝至12年
316,卷二十四,漢紀十六,,立劉賀,孝宣中興,-74,-68,漢昭帝13年、漢廢帝、漢宣帝至6年
317,卷二十五,漢紀十七,,立太子劉奭,漢宣帝報恩及諸羌叛亂,-67,-62,漢宣帝7年至12年
318,卷二十六,漢紀十八,,聖主得賢臣頌,劉相夫和親止及韓延壽,-61,-59,漢宣帝13年至15年
319,卷二十七,漢紀十九,,黃霸升遷及嚴延年誅,漢宣帝崩,-58,-49,漢宣帝16年至25年
320,卷二十八,漢紀二十,,貢禹諫節儉,馮奉世平彡姐羌,-48,-42,漢元帝至7年
321,卷二十九,漢紀二十一,,張猛死及宗廟罷,定嗣及漢元帝崩,-41,-33,漢元帝8年至16年
322,卷三十,漢紀二十二,,石顯失勢及王氏封侯,劉向諫防王氏篡權,-32,-23,漢成帝至10年
323,卷三十一,漢紀二十三,,王鳳死及烏孫小昆彌復仇,,-22,,漢成帝11年
324,卷三十二,漢紀二十四,,,,,,
325,卷三十三,漢紀二十五,,,,,,
326,卷三十四,漢紀二十六,,,,,,
327,卷三十五,漢紀二十七,,,,,,
328,卷三十六,漢紀二十八,,,,,,
329,卷三十七,漢紀二十九,,,,,,
330,卷三十八,漢紀三十,,,,,,
331,卷三十九,漢紀三十一,,,,,,
332,卷四十,漢紀三十二,,,,,,
333,卷四十一,漢紀三十三,,,,,,
334,卷四十二,漢紀三十四,,,,,,
335,卷四十三,漢紀三十五,,,,,,
336,卷四十四,漢紀三十六,,,,,,
337,卷四十五,漢紀三十七,,,,,,
338,卷四十六,漢紀三十八,,,,,,
339,卷四十七,漢紀三十九,,,,,,
340,卷四十八,漢紀四十,,,,,,
341,卷四十九,漢紀四十一,,,,,,
342,卷五十,漢紀四十二,,,,,,
343,卷五十一,漢紀四十三,,,,,,
344,卷五十二,漢紀四十四,,,,,,
345,卷五十三,漢紀四十五,,,,,,
346,卷五十四,漢紀四十六,,,,,,
347,卷五十五,漢紀四十七,,,,,,
348,卷五十六,漢紀四十八,,,,,,
349,卷五十七,漢紀四十九,,,,,,
350,卷五十八,漢紀五十,,,,,,
351,卷五十九,漢紀五十一,,,,,,
352,卷六十,漢紀五十二,,,,,,
353,卷六十一,漢紀五十三,,,,,,
354,卷六十二,漢紀五十四,,,,,,
355,卷六十三,漢紀五十五,,,,,,
356,卷六十四,漢紀五十六,,,,,,
357,卷六十五,漢紀五十七,,,,,,
358,卷六十六,漢紀五十八,,,,,,
359,卷六十七,漢紀五十九,,,,,,
360,卷六十八,漢紀六十,,,,,,
401,卷六十九,魏紀一,,,,,,
402,卷七十,魏紀二,,,,,,
403,卷七十一,魏紀三,,,,,,
404,卷七十二,魏紀四,,,,,,
405,卷七十三,魏紀五,,,,,,
406,卷七十四,魏紀六,,,,,,
407,卷七十五,魏紀七,,,,,,
408,卷七十六,魏紀八,,,,,,
409,卷七十七,魏紀九,,,,,,
410,卷七十八,魏紀十,,,,,,
501,卷七十九,晉紀一,,,,,,
502,卷八十,晉紀二,,,,,,
503,卷八十一,晉紀三,,,,,,
504,卷八十二,晉紀四,,,,,,
505,卷八十三,晉紀五,,,,,,
506,卷八十四,晉紀六,,,,,,
507,卷八十五,晉紀七,,,,,,
508,卷八十六,晉紀八,,,,,,
509,卷八十七,晉紀九,,,,,,
510,卷八十八,晉紀十,,,,,,
511,卷八十九,晉紀十一,,,,,,
512,卷九十,晉紀十二,,,,,,
513,卷九十一,晉紀十三,,,,,,
514,卷九十二,晉紀十四,,,,,,
515,卷九十三,晉紀十五,,,,,,
516,卷九十四,晉紀十六,,,,,,
517,卷九十五,晉紀十七,,,,,,
518,卷九十六,晉紀十八,,,,,,
519,卷九十七,晉紀十九,,,,,,
520,卷九十八,晉紀二十,,,,,,
521,卷九十九,晉紀二十一,,,,,,
522,卷一百,晉紀二十二,,,,,,
523,卷一百一,晉紀二十三,,,,,,
524,卷一百二,晉紀二十四,,,,,,
525,卷一百三,晉紀二十五,,,,,,
526,卷一百四,晉紀二十六,,,,,,
527,卷一百五,晉紀二十七,,,,,,
528,卷一百六,晉紀二十八,,,,,,
529,卷一百七,晉紀二十九,,,,,,
530,卷一百八,晉紀三十,,,,,,
531,卷一百九,晉紀三十一,,,,,,
532,卷一百一十,晉紀三十二,,,,,,
533,卷一百一十一,晉紀三十三,,,,,,
534,卷一百一十二,晉紀三十四,,,,,,
535,卷一百一十三,晉紀三十五,,,,,,
536,卷一百一十四,晉紀三十六,,,,,,
537,卷一百一十五,晉紀三十七,,,,,,
538,卷一百一十六,晉紀三十八,,,,,,
539,卷一百一十七,晉紀三十九,,,,,,
540,卷一百一十八,晉紀四十,,,,,,
601,卷一百一十九,宋紀一,,,,,,
602,卷一百二十,宋紀二,,,,,,
603,卷一百二十一,宋紀三,,,,,,
604,卷一百二十二,宋紀四,,,,,,
605,卷一百二十三,宋紀五,,,,,,
606,卷一百二十四,宋紀六,,,,,,
607,卷一百二十五,宋紀七,,,,,,
608,卷一百二十六,宋紀八,,,,,,
609,卷一百二十七,宋紀九,,,,,,
610,卷一百二十八,宋紀十,,,,,,
611,卷一百二十九,宋紀十一,,,,,,
612,卷一百三十,宋紀十二,,,,,,
613,卷一百三十一,宋紀十三,,,,,,
614,卷一百三十二,宋紀十四,,,,,,
615,卷一百三十三,宋紀十五,,,,,,
616,卷一百三十四,宋紀十六,,,,,,
701,卷一百三十五,齊紀一,,,,,,
702,卷一百三十六,齊紀二,,,,,,
703,卷一百三十七,齊紀三,,,,,,
704,卷一百三十八,齊紀四,,,,,,
705,卷一百三十九,齊紀五,,,,,,
706,卷一百四十,齊紀六,,,,,,
707,卷一百四十一,齊紀七,,,,,,
708,卷一百四十二,齊紀八,,,,,,
709,卷一百四十三,齊紀九,,,,,,
710,卷一百四十四,齊紀十,,,,,,
801,卷一百四十五,梁紀一,,,,,,
802,卷一百四十六,梁紀二,,,,,,
803,卷一百四十七,梁紀三,,,,,,
804,卷一百四十八,梁紀四,,,,,,
805,卷一百四十九,梁紀五,,,,,,
806,卷一百五十,梁紀六,,,,,,
807,卷一百五十一,梁紀七,,,,,,
808,卷一百五十二,梁紀八,,,,,,
809,卷一百五十三,梁紀九,,,,,,
810,卷一百五十四,梁紀十,,,,,,
811,卷一百五十五,梁紀十一,,,,,,
812,卷一百五十六,梁紀十二,,,,,,
813,卷一百五十七,梁紀十三,,,,,,
814,卷一百五十八,梁紀十四,,,,,,
815,卷一百五十九,梁紀十五,,,,,,
816,卷一百六十,梁紀十六,,,,,,
817,卷一百六十一,梁紀十七,,,,,,
818,卷一百六十二,梁紀十八,,,,,,
819,卷一百六十三,梁紀十九,,,,,,
820,卷一百六十四,梁紀二十,,,,,,
821,卷一百六十五,梁紀二十一,,,,,,
822,卷一百六十六,梁紀二十二,,,,,,
901,卷一百六十七,陳紀一,,,,,,
902,卷一百六十八,陳紀二,,,,,,
903,卷一百六十九,陳紀三,,,,,,
904,卷一百七十,陳紀四,,,,,,
905,卷一百七十一,陳紀五,,,,,,
906,卷一百七十二,陳紀六,,,,,,
907,卷一百七十三,陳紀七,,,,,,
908,卷一百七十四,陳紀八,,,,,,
909,卷一百七十五,陳紀九,,,,,,
910,卷一百七十六,陳紀十,,,,,,
1001,卷一百七十七,隋紀一,,,,,,
1002,卷一百七十八,隋紀二,,,,,,
1003,卷一百七十九,隋紀三,,,,,,
1004,卷一百八十,隋紀四,,,,,,
1005,卷一百八十一,隋紀五,,,,,,
1006,卷一百八十二,隋紀六,,,,,,
1007,卷一百八十三,隋紀七,,,,,,
1008,卷一百八十四,隋紀八,,,,,,
1101,卷一百八十五,唐紀一,,,,,,
1102,卷一百八十六,唐紀二,,,,,,
1103,卷一百八十七,唐紀三,,,,,,
1104,卷一百八十八,唐紀四,,,,,,
1105,卷一百八十九,唐紀五,,,,,,
1106,卷一百九十,唐紀六,,,,,,
1107,卷一百九十一,唐紀七,,,,,,
1108,卷一百九十二,唐紀八,,,,,,
1109,卷一百九十三,唐紀九,,,,,,
1110,卷一百九十四,唐紀十,,,,,,
