次序,姓名,官職,爵位,東漢六大家族,備注
1,鄧禹,太傅,高密侯,1,
2,吳漢,大司馬,廣平侯,,
3,賈復,左將軍,膠東侯,,
4,耿弇,建威大將軍,好畤侯,1,
5,寇恂,執金吾,雍奴侯,,
6,岑彭,征南大將軍,舞陽侯,,
7,馮異,征西大將軍,陽夏侯,,
8,朱祜,建義大將軍,鬲侯,,
9,祭遵,征虜將軍,潁陽侯,,
10,景丹,驃騎大將軍,櫟陽侯,,
11,蓋延,虎牙大將軍,安平侯,,
12,銚期,衛尉,安成侯,,
13,耿純,東郡太守,東光侯,,
14,臧宮,城門校尉,朗陵侯,,
15,馬武,捕虜將軍,楊虛侯,,
16,劉隆,驃騎將軍,慎侯,,
17,馬成,中山太守,全椒侯,,
18,王梁,河南尹,阜成侯,,
19,陳俊,琅邪太守,祝阿侯,,
20,杜茂,驃騎大將軍,參蘧侯,,
21,傅俊,積弩將軍,昆陽侯,,
22,堅鐔,左曹,合肥侯,,
23,王霸,上谷太守,淮陵侯,,
24,任光,信都太守,阿陵侯,,
25,李忠,豫章太守,中水侯,,
26,萬脩,右將軍,槐里侯,,
27,邳彤,太常,靈壽侯,,
28,劉植,驍騎將軍,昌城侯,,
29,王常,橫野大將軍,山桑侯,,入云臺圖畫
30,李通,大司空,固始侯,,入云臺圖畫
31,竇融,大司空,安豐侯,1,入云臺圖畫
32,卓茂,太傅,褒德侯,,入云臺圖畫
33,馬援,伏波將軍,新息侯,1,宗室外戚
34,梁統,宣德將軍,成義侯,1,宗室外戚
35,陰識,騎都尉,陰鄉侯,1,宗室外戚
36,鄧晨,廷尉,西華侯,,宗室外戚
37,來歙,太中大夫,征羌侯,,宗室外戚
