序號,國名,別名,現址,性質,西域三十六國(漢書),西域五十六國(通鑒),字音,備註
1,大宛,,烏茲別克斯坦費爾幹納盆地,農耕,,1,宛音淵,
2,烏孫,,敦煌祁連間,遊牧,1,1,,
3,于窴,于寘|于闐,新疆和田,未知,1,,窴音田,
4,康居,,新疆北部及中亞,遊牧,,1,,
5,奄蔡,,烏茲別克斯坦及哈薩克西南,遊牧,,1,,位於中亞河中地區
6,大月氏,,多次遷徙,遊牧,,1,,被匈奴敗分大小月氏，被烏孫敗再次遷徙滅亡大夏，建貴霜帝國
7,大夏,,阿富汗東北部,農耕,,1,,即巴克特裡亞王國
8,身毒,,印度,農耕,,,,
9,安息,,伊朗,農耕,,1,,
10,滇國,,雲南中部東部,農耕,,,,
11,夜郎,,貴州某處,農耕,,,,
12,婼羌,若羌,巴音郭楞自治州若羌縣東南 ,,1,1,,降漢
13,鄯善,樓蘭,巴音郭楞自治州若羌縣一帶,,1,1,,因水源斷絕滅亡
14,且末,,巴音郭楞自治州且末縣 ,,1,1,,被鄯善兼并
15,小宛,,巴音郭楞自治州且末縣 ,,1,1,,被鄯善兼并
16,精絕,,和田地區民豐縣尼雅河附近綠洲一帶,,,1,,被鄯善兼并
17,戎盧,,民豐縣,,1,1,,被于闐兼并
18,拘彌,杅冞|扜彌|扞罙,和田地區于田縣克里雅河東古拘彌城,,1,1,,被于闐兼并
19,渠勒,,和田地區于田縣附近,,1,1,,被于闐兼并
20,皮山,,和田地區皮山縣東南,,1,1,,被于闐兼并
21,烏秅,,喀什地區塔什庫爾干縣西南方一百五十公里 ,,,1,秅音拿,
22,西夜,,喀什地區葉城縣南,,1,1,,被疏勒兼并
23,蒲犂,,塔什庫爾干塔吉克自治縣以東，寄田於莎車,,1,1,,
24,子合,,喀什地區葉城縣南,,,1,,被疏勒兼并
25,依耐,,新疆英吉沙縣一帶,,1,1,,附庸疏勒、嚈噠
26,無雷,,,,,1,,治無雷城，被疏勒兼并
27,難兜,,克什米爾境內,,,1,,
28,罽賓,凜賓國|劫賓國|羯賓國,阿富汗東部及克什米爾西部,,,1,罽音寄,
29,烏弋山離,,阿富汗法拉,,,1,,伊朗古國
30,犂鞬,犂靬|大秦,古羅馬統治的近東地區,,,1,,古羅馬帝國近東地區（敘利亞等）
31,條支,,以敘利亞為中心，包括伊朗和美索不達米亞在內（初期還包括印度的一部分）的希臘化國家,,,1,,塞琉古帝國
32,桃槐,,塔吉克斯坦境內,,,1,,被貴霜帝國兼并
33,休循,,吉爾吉斯斯坦境內,,,1,,治鳥飛谷，被疏勒兼并
34,捐篤,捐毒,克孜勒蘇柯爾克孜自治州烏恰縣西方一百公里,,,1,,
35,莎車,,,,1,1,,被疏勒兼并
36,疏勒,,喀什地區喀什市,,1,1,,附庸唐朝，被吐蕃征服
37,尉頭,,,,1,1,,被龜茲兼并
38,姑墨,,,,1,1,,被龜茲兼并
39,溫宿,,,,1,1,,被龜茲兼并
40,龜茲,,阿克蘇地區庫車縣附近,,1,1,,附庸唐朝
41,烏壘,,新疆輪台以東策達雅鄉南部,,,1,,
42,渠犂,,新疆庫爾勒市以南,,,1,,位於輪臺
43,尉犂,,,,1,1,,被焉耆兼併
44,危須,,,,,1,,被焉耆兼併
45,焉耆,,巴音郭楞自治州焉耆自治縣,,1,1,,附庸唐朝
46,烏貪訾離,,新疆石河子附近,,1,1,,治婁谷，被車師兼并
47,卑陸,,烏魯木齊東,,1,1,,治天山東乾當國，被車師兼并
48,卑陸後國,,,,1,1,,在卑陸西，治番渠類谷，被車師兼并
49,郁立師,,新疆葉城縣南,,,1,,治內咄谷，被車師兼并
50,單桓,,,,1,1,,治單桓城，被車師兼并
51,蒲類,,新疆巴里坤湖（漢朝稱之為蒲類海）附近,,1,1,,先後被鮮卑、突厥所占
52,蒲類後國,,新疆巴里坤湖（漢朝稱之為蒲類海）附近,,1,1,,東漢時滅
53,西且彌,西且彌國,烏魯木齊附近,,1,1,,治天山東於大谷，被車師兼并
54,東且彌,東且彌國,烏魯木齊附近,,1,1,,治天山東兌虛谷，被車師兼并
55,劫國,,維吾爾自治區阜康市附近，鄯善國東北沙漠中,,1,1,,被鄯善兼并
56,山國,,,,1,1,,被焉耆兼併
57,狐胡,,吐魯番西北達坂城,,1,1,,被車師兼并
58,車師前王,姑師|車師前國,新疆吐魯番西北,,1,1,車音拘,降漢
59,車師後王,車師後國,新疆吐魯番西北,,1,1,,降漢
60,車師都尉國,,新疆吐魯番西北,,1,,,降漢
61,車師後城國,,新疆吐魯番西北,,1,,,降漢
