索引號,慣用名,朝代,得位年,失位年,詳情
256,趙武靈王,戰國,-326,-299,首稱趙王，餓死沙丘
446,趙惠文王,戰國,-298,-266,廉、藺、趙奢、李牧加持，無憂
814,趙孝成王,戰國,-265,-245,長平之戰阬45萬人
1026,趙悼襄王,戰國,-244,-236,用郭開、倡后
1052,趙幽穆王,戰國,-235,-228,戰國趙國末代君主
1235,武臣,秦朝,-209,-208,因為自己的姐姐，被李良殺
1423,趙歇,秦朝,-208,-204,鉅鹿之戰被圍，幸虧項羽救；最終被漢軍殺
1234,張耳,西漢,-203,-202,當趙王後一年病死
1245,張敖,西漢,-202,-198,發生貫高行刺事件，沾魯元公主光僅被降為侯
2045,劉如意,西漢,-198,-195,被呂后召來，貪睡被毒死
2219,劉友,西漢,-194,-181,被呂后召來，餓死
2218,劉恢,西漢,-181,-181,寵妃被呂產女毒死，故自殺
2411,呂祿,西漢,-181,-180,被好友酈寄騙，交出兵權，然后被殺
2443,劉遂,西漢,-179,-154,發動七國之亂被誅
,劉彭祖,西漢,-154,-92,
,劉昌,西漢,-92,-73,
,劉尊,西漢,-73,-68,
,劉高,西漢,-66,-65,
,劉充,西漢,-65,-9,
,劉隱,西漢,-9,10,
