索引號,卷名一,卷名二,節名,起始,結束,起始年,結束年,備注
10101,卷一,周紀一,三家分晉,初命晉大夫魏斯,豈不哀哉,-403,,
10102,卷一,周紀一,三家滅智,初，智宣子將以瑤為後,又何失人之足患哉,,,
10103,卷一,周紀一,豫讓復仇,三家分智氏之田,遂殺之,,,
10104,卷一,周紀一,趙魏韓身世,襄子為伯魯之不立也,是為景侯,,,
10105,卷一,周紀一,魏文侯,魏文侯以卜子夏,愿卒為弟子,,,
10106,卷一,周紀一,吳起,吳起者，衛人,是以哭之,,,
10107,卷一,周紀一,至安王五年,燕湣公薨,日有食之,,,
10108,卷一,周紀一,聶政,三月，盜殺韓相俠累,遂死于政尸之旁,,,
10109,卷一,周紀一,至安王十五年,鄭駟子陽之黨弒繻公,取南鄭,,,
10110,卷一,周紀一,魏武侯及吳起去魏,魏文侯薨,而楚之貴戚大臣多怨吳起者,,,
10111,卷一,周紀一,至安王二十五年,秦惠公薨,取茲方,,,
10112,卷一,周紀一,子思仕衛,子思言茍變於衛侯曰,抑亦似君之君臣乎,,,
10113,卷一,周紀一,至烈王六年,魯穆公薨,魏敗趙師於懷,,,
10114,卷一,周紀一,齊威王,齊威王召即墨大夫,是為顯王,,,
10115,卷一,周紀一,韓趙謀魏,魏大夫王錯出奔韓,其國可破也,,-369,
10201,卷二,周紀二,至顯王七年,齊伐魏,子文公立,-370,,
10202,卷二,周紀二,秦孝公及商鞅變法,秦獻公薨,趙、齊、宋會於平陸,,,
10203,卷二,周紀二,齊威魏惠論寶,齊威王、魏惠王會田於郊,楚王使景舍救趙,,,
10204,卷二,周紀二,桂陵之戰,齊威王使田忌救趙,魏師大敗,,,
10205,卷二,周紀二,至顯王十八年,韓伐東周,與趙盟漳水上,,,
10206,卷二,周紀二,韓昭侯及申不害變法,韓昭侯以申不害為相,吾必待有功者,,,
10207,卷二,周紀二,至顯王二十六年,秦商鞅筑冀闕宮庭於咸陽,秦孝公使公子少官率師會諸侯於逢澤以朝王,,,
10208,卷二,周紀二,馬陵之戰,魏龐涓伐韓,出奔楚,,,
10209,卷二,周紀二,魏獻河西及商鞅車裂,衛鞅言於秦孝公曰,宋太丘社亡,,,
10210,卷二,周紀二,孟子見梁惠王,鄒人孟軻見魏惠王,所與言之人異故也,,,
10211,卷二,周紀二,至顯王三十六年,秦伐韓,子宣惠王立,,,
10212,卷二,周紀二,蘇秦相六國,初，洛陽人蘇秦說秦王以兼天下之術,車騎輜重擬於王者,,,
10213,卷二,周紀二,至顯王四十八年,齊威王薨,子噲立,,,
10214,卷二,周紀二,孟嘗君,齊王封田嬰於薛,君之國危矣,,-321,
10301,卷三,周紀三,魏反縱為橫,衛更貶號曰君,子平公旅立,-320,,
10302,卷三,周紀三,慎靚王崩,巴、蜀相攻擊,子赧王延立,,,
10303,卷三,周紀三,子之之亂,秦人侵義渠,擄其將莊豹,,,
10304,卷三,周紀三,張儀欺楚及丹陽藍田之戰,秦王欲伐齊,割兩城以請平於秦,,,
